ficheroprueba

VEHICLE
NUMBER     CAPACITY    HORASDETRABAJO    PERIODODEPLANIFICACION
  25         200         6                 5

CUSTOMER
CUST NO.   XCOORD.   YCOORD.   DEMAND    NDIASRECOGIDA    DIASRECOGIDA
 
    0      35         35          0          0               
    1      41         49         10          2               2 4
    2      35         17          7          1               1
    3      55         45         13          5               1 2 3 4 5
    4      55         20         19          1               2
    5      15         30         26          1               3
    6      25         30          3          4               1 3 4 5
    7      20         50          5          5               1 2 3 4 5
    8      10         43          9          1               4
    9      55         60         16          2               3 5
   10      30         60         16          3               1 3 5
   11      20         65         12          5               1 2 3 4 5
   12      50         35         19          1               5
   13      30         25         23          2               2 4
   14      15         10         20          3               1 4 5
   15      30          5          8          5               1 2 3 4 5
   16      10         20         19          3               1 2 4
   17       5         30          2          4               1 2 3 4
   18      20         40         12          2               1 4
   19      15         60         17          2               2 5
   20      45         65          9          1               1
   21      45         20         11          3               1 3 5
   22      45         10         18          4               1 2 4 5
   23      55          5         29          5               1 2 3 4 5
   24      65         35          3          3               1 3 5
   25      65         20          6          1               2
